group_id,variant_code
img-c517ae07c1727c82b335,vmm-a7e21edd26fc6927355b7dd0787eea07543b063b98b5fdc11d175a596e1896cc
img-c517ae07c1727c82b335,vmm-4ce2e853759faf4b60e1525e6cad93dc5de1d9e9d3f291c74ea573a3e90dd7d2
img-c517ae07c1727c82b335,vmm-87a09f33d8a2f661833ef648966c2211b35c426c9afb0a6df0143ad261ee9c40
img-c517ae07c1727c82b335,vmm-59bfd82243b65ae5a2cbc8f86f86bc74031f3bf6580f77a000a4df8419906d3c
img-c517ae07c1727c82b335,vmm-e3633888c77b6ecfe55c4521d8f8f9c5e93bfb5d89eababeb0f9f4e2bdd9fdf8
img-c517ae07c1727c82b335,vmm-33aa7f2707de7f8423dc928032870eec38a81bb90b576588f835bbf2ff08216f
img-c517ae07c1727c82b335,vmm-18634de32057f3e8d89477022c8e194ec009f975552092a718c90d5833a63e7c
img-c517ae07c1727c82b335,vmm-23fd98b306bc4fd0a459d4614205905cfb5dac07c3b6a3941846235ab6a0846d
img-c517ae07c1727c82b335,vmm-75302dccf0cb3038f83678aa37a5a056e9e403b5c27bef5573a7716a64d7f824
img-312e3782e63a844ed6ff,vmm-29cabedd968366def5ca30f98c6b91c7e7aaaa6378743a90f022557b40691399
img-312e3782e63a844ed6ff,vmm-77724b69f0d9a1ab82f0c6d077469a50decc650de513cef4751cfcdb9b17024f
img-312e3782e63a844ed6ff,vmm-df278823ec715faf4cd960e8f8d2eec0bc3bb3e1d92ba5ec2f997ca23af67f53
img-312e3782e63a844ed6ff,vmm-3d8e05d29471fda876fdf8e3dd9cc39c85c191cba4aa153f39fce5e2c784f0ea
img-312e3782e63a844ed6ff,vmm-606292e5bf1128850063b590ed292f747a0cbb1487aa1c6b4a8015faf25b6e61
img-312e3782e63a844ed6ff,vmm-0aecca68916abe1b0a313f88077f61dc6ebb499201733ba03cff5eeaa3578aee
img-312e3782e63a844ed6ff,vmm-82aff918812a4e68168a254d2d04e207bcc6ceb065e68581716be577eca6d948
img-312e3782e63a844ed6ff,vmm-fa26dbfd094fc28d213eda8725a2e4885117f4dddac9948532eb362789ee0f0d
img-2d863b105d5fe8279335,vmm-c86fa53c1ea685deedb041525e083701e8c8e85471ed89f991c307dcf8466a50
img-2d863b105d5fe8279335,vmm-97777d37f038cc59122187957d4a4d1f905bbafd67dc1c62d715e7f3f259ee8d
img-6eab4b4d8613959e758b,vmm-3de9b9c125d2bc97f7f4b8dfbd9981d6105131baeb4d50252472af82a2816a41
img-6eab4b4d8613959e758b,vmm-ad9721a0753dfcf7a35a34de1b84fd013742e71426512f8879474010db8eb009
img-6eab4b4d8613959e758b,vmm-271be66c287128ec0d7cfad0ae3af6274915fb045a4a39453e8ef4a94e06f16a
img-6eab4b4d8613959e758b,vmm-bbb5862e85e60785cadddebd54f4994a0d8fcf4fc4695420a941704833eba706
img-6eab4b4d8613959e758b,vmm-ab75c0334bd1ce40b25b3c06c9d6372e0a933f7379431187b93ec97d01889cee
img-6eab4b4d8613959e758b,vmm-1efcf30883a70b7292898d4b04a0a74376cbde15a3a1d9fde1529b032092fd97
img-6eab4b4d8613959e758b,vmm-e8de1e5e3e39fe6756ceba2e3ebdfd9c2bd356c2c0001984aee7e37a7141ddb9
img-6eab4b4d8613959e758b,vmm-4707a8ab8ea3c9181d4d053e57aaf9efa8a947c59dd5c5655266714a9a1cfa54
img-6eab4b4d8613959e758b,vmm-7193d375c5a4e592e8d160aa5bbe48c78a10beb3ed6c151a9069fe031a0f8330
img-6eab4b4d8613959e758b,vmm-5a8b7e7eb429f26e8fcfd77764539cc4ab7429740f59f2a91b6a56d316ebc493
img-6eab4b4d8613959e758b,vmm-ef89bf82a6a7d929866c5da1eae5fb939a4300eba7e7f86c65aeb9ffc850c83c
img-6eab4b4d8613959e758b,vmm-93cba6da0b8ce14fdd1329b1064cc57c3390a42031e4bdee18486cb232674952
img-6eab4b4d8613959e758b,vmm-4cf9d6f331e0e3bf30f1cbcc8e639acc51876f2e1e919e161b7776affccfceb0
img-6eab4b4d8613959e758b,vmm-79c246dc3af07491b4977cbdadf5e1d6023cc6bfc823a005bbf041a2e6fd4169
img-6eab4b4d8613959e758b,vmm-26c06a3aa8afdb47d1c8ca44612a6ccaac65add83ae43c0d979f783ec4d0d4ad
img-62b0f3fe48a981ed14e4,vmm-d846bf1729ae534cebe75800d1e4d0209cb8bc0b855fd5c3b26de43479d3990f
img-62b0f3fe48a981ed14e4,vmm-5d3e3b2a257000ce55b910bdcfa691cd781606c8d56f994e27c204fdc2732f8a
img-62b0f3fe48a981ed14e4,vmm-8b334512f47771da06c1d1d76a5a78728d99ae124522bbb987bb6fee647c80d6
img-62b0f3fe48a981ed14e4,vmm-d2e70f2bef0a4bafae07146b22a367ccbe6a9fac2e8116a5b65b197b38f2fbec
img-62b0f3fe48a981ed14e4,vmm-bf45f609932a7f7478b9b66c6a21c46707a3512a78b08dfc5cfb5aa905f73d34
