source_row,variant_code,field,original_value,stored_value,reason
9310,vmm-51de73d1dadd83250240ec7eebed8761198be3a0d9d4c5baf8298a67d7c7aa45,power_hp,304.2,304,ROUNDED_FOR_INTEGER_STORAGE
9311,vmm-f2f93a000f298aec31808da37709698d7396c4d2c9ef373932ff6e4f5bb60f75,power_hp,405.5,406,ROUNDED_FOR_INTEGER_STORAGE
9317,vmm-49673a5454ff231829f2affc85b4a6f1d08ab95f0d4b1be252e8df5fb673bb96,power_hp,283.9,284,ROUNDED_FOR_INTEGER_STORAGE
9321,vmm-3f0541b17dae38cfd9b71ba9c994f4f8f11cb0996409b83ea14aec369a615e2a,power_hp,370.1,370,ROUNDED_FOR_INTEGER_STORAGE
9342,vmm-075a4245c17ba037eb6c4e0e498fb60882197e16e55f6fb83ff48bae934061a4,power_hp,456.2,456,ROUNDED_FOR_INTEGER_STORAGE
9892,vmm-9db5b95fe9c84cbbfd24b5fc7018fa0d4298befd63afe5221a4f929eee405597,power_hp,234.2,234,ROUNDED_FOR_INTEGER_STORAGE
9893,vmm-edfa01670b1b6a4fb4c8dc3efab6d43365605b342d212195cfb787b69ea85a23,power_hp,234.2,234,ROUNDED_FOR_INTEGER_STORAGE
9894,vmm-076026419507d7f751618b265eb87e5e9d72cd969fe368de37117bc368594ffe,power_hp,177.4,177,ROUNDED_FOR_INTEGER_STORAGE
10302,vmm-45968f081e6458a79b1925170673846db5022ef30b0a4474a1f451057ebe68c1,power_hp,533.3,533,ROUNDED_FOR_INTEGER_STORAGE
10319,vmm-84eec11b94a48b96314bd8ab51c0fbe431b03e50be5f7c1a91d72ff029ce9808,power_hp,547.5,548,ROUNDED_FOR_INTEGER_STORAGE
10373,vmm-4e50faa283ae9211422c05311a919bde96d00d962a235a5e9187bee9052d5ffb,power_hp,273.7,274,ROUNDED_FOR_INTEGER_STORAGE
10375,vmm-ad19ad2c95656e213b9927c07cdbfbd98b6af549a8ebe2ef4825df0f00319686,power_hp,410.6,411,ROUNDED_FOR_INTEGER_STORAGE
10532,vmm-475c61ef5e0afa44ee57021831280639fb8e0cd837af1a125f8de41fcf82c363,power_hp,111.5,112,ROUNDED_FOR_INTEGER_STORAGE
10626,vmm-6b82efb5b7997f510865235eb806c772156f1f89d8be1db9aad217c850d20278,power_hp,212.9,213,ROUNDED_FOR_INTEGER_STORAGE
10671,vmm-61a836e29cc6d92892cc88283e9ce990b404fd6344a86ac80ec957839b0fbdb5,power_hp,284.9,285,ROUNDED_FOR_INTEGER_STORAGE
10677,vmm-dd78f3ed5a724e4fd6bc5041cdbc3acd55c8b3ede25af75ff38201a0f24afffc,power_hp,202.8,203,ROUNDED_FOR_INTEGER_STORAGE
10678,vmm-75437a91485e9ec929766cc415d98c96af2c6268e61de98ac77a1736b5ff9817,power_hp,312.3,312,ROUNDED_FOR_INTEGER_STORAGE
10679,vmm-eaf2ca7fbd6792b5a9bbe36e52703fcbefc9dc61df38cceb2e0411149db2fc60,power_hp,312.3,312,ROUNDED_FOR_INTEGER_STORAGE
10680,vmm-314e6a16325f87fc0b2747a503696b3f6ec216aefbeb59812c4785abe628c96b,power_hp,183.5,184,ROUNDED_FOR_INTEGER_STORAGE
10681,vmm-196fe719b26454eab4aef88c04501c00695e8bb27799eb3cf9337d84332808f0,power_hp,183.5,184,ROUNDED_FOR_INTEGER_STORAGE
10727,vmm-6dd567197c5bff2d1e56562ac503443d1df8b72aad6efcde7551f8373eb52d5f,power_hp,406.6,407,ROUNDED_FOR_INTEGER_STORAGE
